Description;Hostname/IP;PPTP;L2TP;SSTP;OpenVPN;L2TP Key;Torrent;DNS1;DNS2;DNS3
United Kingdom, A FREE;uk-free-a.glbls.net;;Yes;Yes;;s3CuREpaSs412;No;54.229.171.243;23.21.43.50;54.183.15.10
United Kingdom, B FREE;uk-free-b.glbls.net;Yes;Yes;;Yes;s3CuREpaSs412;No;54.229.171.243;23.21.43.50;54.183.15.10
United States, A FREE;us-free-a.glbls.net;;Yes;Yes;;s3CuREpaSs412;No;23.21.43.50;54.183.15.10;54.229.171.243
United States, B FREE;us-free-b.glbls.net;Yes;Yes;;Yes;s3CuREpaSs412;No;23.21.43.50;54.183.15.10;54.229.171.243
